0.00000000e+00   0   2.16237738e+01   1   8.77835281e+02   2   8.78719971e+02   3   9.05920400e+02   4   1.13341891e+03   5   1.13392751e+03   6   
0.00000000e+00   0   1.72009937e+01   1   6.83149388e+02   2   6.83811681e+02   3   7.00259760e+02   4   8.71501235e+02   5   8.71881453e+02   6   
0.00000000e+00   0   1.42808842e+01   1   5.46250628e+02   2   5.46760017e+02   3   5.57457395e+02   4   6.81778813e+02   5   6.82083477e+02   6   
0.00000000e+00   0   1.08737272e+01   1   4.44474498e+02   2   4.44865716e+02   3   4.52349429e+02   4   5.43275084e+02   5   5.43494739e+02   6   
0.00000000e+00   0   9.82391929e+00   1   3.70434548e+02   2   3.70750848e+02   3   3.76300528e+02   4   4.43225206e+02   5   4.43387258e+02   6   
0.00000000e+00   0   8.24843279e+00   1   3.11000343e+02   2   3.11264410e+02   3   3.15564917e+02   4   3.66959259e+02   5   3.67092657e+02   6   
0.00000000e+00   0   7.18861023e+00   1   2.66090161e+02   2   2.66303527e+02   3   2.69603923e+02   4   3.09532121e+02   5   3.09636135e+02   6   
0.00000000e+00   0   6.16315422e+00   1   2.28911833e+02   2   2.29094576e+02   3   2.31827251e+02   4   2.64530325e+02   5   2.64613723e+02   6   
0.00000000e+00   0   5.54767126e+00   1   1.99462691e+02   2   1.99620845e+02   3   2.01821814e+02   4   2.28319325e+02   5   2.28390118e+02   6   
0.00000000e+00   0   4.75651031e+00   1   1.75383961e+02   2   1.75523383e+02   3   1.77327773e+02   4   1.99574297e+02   5   1.99633954e+02   6   
0.00000000e+00   0   4.28464478e+00   1   1.55228807e+02   2   1.55346317e+02   3   1.56889122e+02   4   1.75939835e+02   5   1.75989990e+02   6   
0.00000000e+00   0   3.28674384e+00   1   1.18383945e+02   2   1.18469269e+02   3   1.19485472e+02   4   1.32732808e+02   5   1.32768168e+02   6   
0.00000000e+00   0   2.42485366e+00   1   9.31734344e+01   2   9.32418814e+01   3   9.39571452e+01   4   1.03876131e+02   5   1.03905182e+02   6   
0.00000000e+00   0   2.00904746e+00   1   7.54645204e+01   2   7.55175810e+01   3   7.60433625e+01   4   8.37541382e+01   5   8.37769911e+01   6   
0.00000000e+00   0   1.68220176e+00   1   6.28885477e+01   2   6.29326106e+01   3   6.33324689e+01   4   6.94957348e+01   5   6.95148671e+01   6   
0.00000000e+00   0   1.58251170e+00   1   5.86954784e+01   2   5.87367010e+01   3   5.90950319e+01   4   6.47562700e+01   5   6.47748172e+01   6   
0.00000000e+00   0   1.46644812e+00   1   5.49089232e+01   2   5.49476214e+01   3   5.52729054e+01   4   6.05287895e+01   5   6.05450620e+01   6   
0.00000000e+00   0   1.24881205e+00   1   4.58988871e+01   2   4.59314692e+01   3   4.61765066e+01   4   5.04021751e+01   5   5.04160803e+01   6   
0.00000000e+00   0   1.04660864e+00   1   4.01269595e+01   2   4.01557126e+01   3   4.03507723e+01   4   4.38970736e+01   5   4.39091986e+01   6   
0.00000000e+00   0   9.38968650e-01   1   3.54831841e+01   2   3.55078519e+01   3   3.56703340e+01   4   3.87467591e+01   5   3.87570107e+01   6   
