# log(lambda) = a*log(R)^3 + b*log(R)^2 + c*log(R) + d. This is the V2 table including the additional columns Mhe_TAMS and R_TAMS
#M/Msun   Z/Zsun   Mhe_TAMS/Msun   R_TAMS/Rsun   R12/Rsun   R23/Rsun   Rmax/Rsun	a1 b1 c1 d1 a2 b2 c2 d2 a3 b3 c3 d3
18	0.4	5.37	17.4137	704	877	1.29e+03	0.1175663	-0.8762652	1.3512919	-0.9165315	-148.8468320	1283.1888745	-3687.0913216	3529.7366731	-253.5346308	2369.9932875	-7371.7114730	7628.9501188	
18	0.2	5.43	17.2327	745	933	1.18e+03	0.2821377	-1.9651505	3.5547503	-2.3236615	434.2105697	-3785.0937950	10998.2310088	-10653.8198605	46.2432927	-416.1691624	1257.5809906	-1276.9924695	
18	0.1	5.47	16.2895	724	854	1.08e+03	0.2776959	-1.8413332	3.1084160	-1.9231550	861.3848207	-7450.2492409	21479.3135019	-20643.3224637	653.5172244	-5845.6394503	17437.4386082	-17347.3800879	
18	0.04	5.49	14.63	682	851	952	0.1689263	-1.0894541	1.5137741	-0.8819918	-1848.6441328	15981.3473627	-46044.7086893	44211.9384742	12797.7547103	-113475.7063922	335393.6109567	-330438.3145680	
18	0.01	5.48	13.2258	599	774	874	0.0288113	-0.1144529	-0.4612214	0.3165263	221.3534898	-1878.5690786	5314.2291283	-5012.2025876	8450.0199669	-73932.1755006	215623.4011785	-209626.6767389	
20	1.0	6.19	24.2191	800	1.11e+03	1.37e+03	0.0611590	-0.5164805	0.6439734	-0.5316743	-6.6172885	56.7931849	-161.8044392	151.4996858	5012.8110299	-46277.8327209	142394.4828794	-146031.7481664	
20	0.4	6.31	19.5282	857	1.01e+03	1.4e+03	0.1223298	-0.9787422	1.6343784	-1.1260848	-614.7963377	5462.5297748	-16177.7774214	15968.4130556	-643.5829257	5987.4036080	-18556.6553505	19158.4299200	
20	0.2	6.36	19.1745	842	1.03e+03	1.28e+03	0.2721665	-1.9026593	3.4366541	-2.2574634	699.6323545	-6201.2455336	18321.3657473	-18044.5814498	1071.4701692	-9825.9573608	30043.4542307	-30628.1153791	
20	0.1	6.42	17.4845	817	944	1.17e+03	0.2284311	-1.5517882	2.5752583	-1.6128448	1340.4596910	-11795.0275880	34595.4870908	-33824.8712245	1894.6616783	-17177.1557828	51915.7582048	-52309.9253132	
20	0.04	6.44	15.9526	720	834	1.03e+03	0.2595219	-1.5812434	2.4068249	-1.4076101	-12.8187554	113.3671371	-330.4425017	316.3439361	-637.1934552	5759.5574156	-17342.8730535	17396.1054393	
