0.00000000e+00   0   1.53236750e+01   1   6.24103142e+02   2   6.24675427e+02   3   6.39656721e+02   4   7.56989829e+02   5   7.57212615e+02   6   
0.00000000e+00   0   1.23395300e+01   1   4.92349769e+02   2   4.92773974e+02   3   5.01892534e+02   4   5.79978075e+02   5   5.80146662e+02   6   
0.00000000e+00   0   9.93133726e+00   1   4.00800607e+02   2   4.01111748e+02   3   4.07160419e+02   4   4.63015946e+02   5   4.63136309e+02   6   
0.00000000e+00   0   8.31378349e+00   1   3.30926040e+02   2   3.31178698e+02   3   3.35458632e+02   4   3.77828273e+02   5   3.77925109e+02   6   
0.00000000e+00   0   7.07365305e+00   1   2.79762439e+02   2   2.79968072e+02   3   2.83206741e+02   4   3.16314448e+02   5   3.16389132e+02   6   
0.00000000e+00   0   6.54654772e+00   1   2.38982334e+02   2   2.39154715e+02   3   2.41668378e+02   4   2.68396950e+02   5   2.68461212e+02   6   
0.00000000e+00   0   5.57193019e+00   1   2.05689600e+02   2   2.05836829e+02   3   2.07827313e+02   4   2.30004837e+02   5   2.30059623e+02   6   
0.00000000e+00   0   4.80141376e+00   1   1.78683298e+02   2   1.78810617e+02   3   1.80411468e+02   4   1.99104755e+02   5   1.99152500e+02   6   
0.00000000e+00   0   4.21826884e+00   1   1.58219820e+02   2   1.58332582e+02   3   1.59669880e+02   4   1.75659867e+02   5   1.75701518e+02   6   
0.00000000e+00   0   3.93254201e+00   1   1.40460245e+02   2   1.40559943e+02   3   1.41681422e+02   4   1.55545517e+02   5   1.55580293e+02   6   
0.00000000e+00   0   3.58119576e+00   1   1.25889987e+02   2   1.25978551e+02   3   1.26918585e+02   4   1.38938578e+02   5   1.38970146e+02   6   
0.00000000e+00   0   3.18677138e+00   1   1.13078673e+02   2   1.13158909e+02   3   1.13964304e+02   4   1.24561275e+02   5   1.24590027e+02   6   
0.00000000e+00   0   2.70471350e+00   1   1.02295356e+02   2   1.02368695e+02   3   1.03069587e+02   4   1.12461849e+02   5   1.12487950e+02   6   
0.00000000e+00   0   2.62871374e+00   1   9.37170761e+01   2   9.37826508e+01   3   9.43883704e+01   4   1.02700916e+02   5   1.02724862e+02   6   
0.00000000e+00   0   2.26332128e+00   1   8.59288703e+01   2   8.59894710e+01   3   8.65117571e+01   4   9.39899134e+01   5   9.40116054e+01   6   
0.00000000e+00   0   2.10949608e+00   1   7.87262765e+01   2   7.87791049e+01   3   7.92406145e+01   4   8.59915656e+01   5   8.60109780e+01   6   
0.00000000e+00   0   2.03487795e+00   1   7.26892409e+01   2   7.27378046e+01   3   7.31498283e+01   4   7.92791676e+01   5   7.92975024e+01   6   
0.00000000e+00   0   1.78959118e+00   1   6.76316052e+01   2   6.76772332e+01   3   6.80487836e+01   4   7.36579327e+01   5   7.36749447e+01   6   
0.00000000e+00   0   1.65844826e+00   1   6.26441466e+01   2   6.26868135e+01   3   6.30156272e+01   4   6.81798263e+01   5   6.81956698e+01   6   
0.00000000e+00   0   1.56817150e+00   1   5.84370079e+01   2   5.84765003e+01   3   5.87728183e+01   4   6.34542855e+01   5   6.34690990e+01   6   
0.00000000e+00   0   1.49846370e+00   1   5.47154068e+01   2   5.47532835e+01   3   5.50250686e+01   4   5.93538037e+01   5   5.93673471e+01   6   
0.00000000e+00   0   1.39595910e+00   1   5.13409866e+01   2   5.13757889e+01   3   5.16234474e+01   4   5.56439786e+01   5   5.56566153e+01   6   
0.00000000e+00   0   1.34782568e+00   1   4.84327308e+01   2   4.84658115e+01   3   4.86911950e+01   4   5.24298571e+01   5   5.24421713e+01   6   
0.00000000e+00   0   1.23876833e+00   1   4.57026173e+01   2   4.57337513e+01   3   4.59386966e+01   4   4.94773390e+01   5   4.94892883e+01   6   
0.00000000e+00   0   1.19990957e+00   1   4.32017561e+01   2   4.32314174e+01   3   4.34166688e+01   4   4.67236942e+01   5   4.67349827e+01   6   
0.00000000e+00   0   1.07468737e+00   1   4.09297781e+01   2   4.09581800e+01   3   4.11283027e+01   4   4.42500729e+01   5   4.42602634e+01   6   
0.00000000e+00   0   1.08421896e+00   1   3.88462740e+01   2   3.88730094e+01   3   3.90298542e+01   4   4.19381312e+01   5   4.19480767e+01   6   
0.00000000e+00   0   9.47713026e-01   1   3.70752434e+01   2   3.71009192e+01   3   3.72438026e+01   4   3.99997736e+01   5   4.00090238e+01   6   
0.00000000e+00   0   9.18767366e-01   1   3.53787289e+01   2   3.54034330e+01   3   3.55376087e+01   4   3.81527029e+01   5   3.81617048e+01   6   
0.00000000e+00   0   8.65340281e-01   1   3.36961483e+01   2   3.37199202e+01   3   3.38454924e+01   4   3.62996285e+01   5   3.63083181e+01   6   
0.00000000e+00   0   8.73804315e-01   1   3.22001160e+01   2   3.22225077e+01   3   3.23381358e+01   4   3.46828849e+01   5   3.46908669e+01   6   
0.00000000e+00   0   8.05797332e-01   1   3.10374534e+01   2   3.10592632e+01   3   3.11672695e+01   4   3.33627420e+01   5   3.33713861e+01   6   
0.00000000e+00   0   7.77799830e-01   1   2.97543757e+01   2   2.97753330e+01   3   2.98765125e+01   4   3.19642937e+01   5   3.19725792e+01   6   
0.00000000e+00   0   7.81456151e-01   1   2.85278958e+01   2   2.85479790e+01   3   2.86428536e+01   4   3.06336777e+01   5   3.06413775e+01   6   
0.00000000e+00   0   7.08063295e-01   1   2.74679759e+01   2   2.74876234e+01   3   2.75759744e+01   4   2.94808834e+01   5   2.94884627e+01   6   
0.00000000e+00   0   6.81874535e-01   1   2.62574685e+01   2   2.62762810e+01   3   2.63597828e+01   4   2.81677395e+01   5   2.81749384e+01   6   
0.00000000e+00   0   6.61822157e-01   1   2.53387885e+01   2   2.53570366e+01   3   2.54350499e+01   4   2.71871514e+01   5   2.71934936e+01   6   
0.00000000e+00   0   6.53910820e-01   1   2.45605351e+01   2   2.45781142e+01   3   2.46523357e+01   4   2.63415070e+01   5   2.63477071e+01   6   
