0.00000000e+00   0   1.60256451e+01   1   6.45112915e+02   2   6.45867854e+02   3   6.66889039e+02   4   8.06152292e+02   5   8.06369776e+02   6   
0.00000000e+00   0   1.28513435e+01   1   5.12793581e+02   2   5.13351322e+02   3   5.25305064e+02   4   6.19961079e+02   5   6.20134611e+02   6   
0.00000000e+00   0   1.00912458e+01   1   4.15752310e+02   2   4.16182861e+02   3   4.24259596e+02   4   4.93063990e+02   5   4.93196124e+02   6   
0.00000000e+00   0   8.28055477e+00   1   3.47316515e+02   2   3.47652166e+02   3   3.53242598e+02   4   4.04983779e+02   5   4.05088960e+02   6   
0.00000000e+00   0   7.17901135e+00   1   2.93290949e+02   2   2.93551332e+02   3   2.97736791e+02   4   3.38196900e+02   5   3.38280442e+02   6   
0.00000000e+00   0   6.21428052e+00   1   2.51085361e+02   2   2.51302958e+02   3   2.54486283e+02   4   2.86925257e+02   5   2.86993940e+02   6   
0.00000000e+00   0   5.49865095e+00   1   2.16707677e+02   2   2.16895234e+02   3   2.19454851e+02   4   2.46394092e+02   5   2.46451801e+02   6   
0.00000000e+00   0   5.05655527e+00   1   1.89234587e+02   2   1.89388560e+02   3   1.91449406e+02   4   2.14044288e+02   5   2.14095429e+02   6   
0.00000000e+00   0   4.53500036e+00   1   1.66977761e+02   2   1.67110653e+02   3   1.68805193e+02   4   1.88001938e+02   5   1.88045549e+02   6   
0.00000000e+00   0   3.79633765e+00   1   1.48427094e+02   2   1.48545619e+02   3   1.49955848e+02   4   1.66455631e+02   5   1.66495074e+02   6   
0.00000000e+00   0   3.41112841e+00   1   1.32571693e+02   2   1.32677663e+02   3   1.33886215e+02   4   1.48310898e+02   5   1.48348393e+02   6   
0.00000000e+00   0   2.72696783e+00   1   1.03516062e+02   2   1.03596989e+02   3   1.04424277e+02   4   1.14973352e+02   5   1.15003565e+02   6   
0.00000000e+00   0   2.17940893e+00   1   8.33993331e+01   2   8.34610411e+01   3   8.40489798e+01   4   9.21201799e+01   5   9.21441511e+01   6   
0.00000000e+00   0   1.80737922e+00   1   6.88837607e+01   2   6.89346121e+01   3   6.93675601e+01   4   7.57130124e+01   5   7.57336568e+01   6   
0.00000000e+00   0   1.58241593e+00   1   5.79409297e+01   2   5.79819830e+01   3   5.83138482e+01   4   6.34940934e+01   5   6.35110491e+01   6   
0.00000000e+00   0   1.38483483e+00   1   5.44583810e+01   2   5.44970711e+01   3   5.47975436e+01   4   5.95611358e+01   5   5.95769391e+01   6   
0.00000000e+00   0   1.37674120e+00   1   5.12357670e+01   2   5.12721383e+01   3   5.15441164e+01   4   5.59708218e+01   5   5.59861708e+01   6   
0.00000000e+00   0   1.14748178e+00   1   4.33154993e+01   2   4.33464736e+01   3   4.35512688e+01   4   4.71624360e+01   5   4.71751953e+01   6   
0.00000000e+00   0   1.01215790e+00   1   3.81999350e+01   2   3.82274356e+01   3   3.83952031e+01   4   4.14997986e+01   5   4.15106308e+01   6   
0.00000000e+00   0   9.18027982e-01   1   3.40550342e+01   2   3.40796103e+01   3   3.42175979e+01   4   3.69146528e+01   5   3.69240375e+01   6   
0.00000000e+00   0   7.12583091e-01   1   2.77836484e+01   2   2.78040256e+01   3   2.79019632e+01   4   3.00032082e+01   5   3.00110415e+01   6   
0.00000000e+00   0   5.97231813e-01   1   2.33782725e+01   2   2.33956809e+01   3   2.34689409e+01   4   2.51804664e+01   5   2.51868106e+01   6   
0.00000000e+00   0   4.46428574e-01   1   1.77097076e+01   2   1.77231483e+01   3   1.77689324e+01   4   1.90158262e+01   5   1.90203419e+01   6   
0.00000000e+00   0   3.64926417e-01   1   1.42299715e+01   2   1.42409787e+01   3   1.42752794e+01   4   1.52688477e+01   5   1.52728927e+01   6   
0.00000000e+00   0   3.04963758e-01   1   1.19407377e+01   2   1.19502011e+01   3   1.19766852e+01   4   1.28211347e+01   5   1.28245227e+01   6   
0.00000000e+00   0   2.52440184e-01   1   1.03492571e+01   2   1.03576585e+01   3   1.03799670e+01   4   1.11107259e+01   5   1.11137102e+01   6   
0.00000000e+00   0   2.13721052e-01   1   9.17647808e+00   2   9.18401451e+00   3   9.20374158e+00   4   9.86062691e+00   5   9.86331989e+00   6   
0.00000000e+00   0   1.41038248e-01   1   6.18008645e+00   2   6.18569690e+00   3   6.19789213e+00   4   6.64986330e+00   5   6.65177545e+00   6   
0.00000000e+00   0   1.08686344e-01   1   4.94016462e+00   2   4.94487892e+00   3   4.95514747e+00   4   5.33031829e+00   5   5.33192608e+00   6   
0.00000000e+00   0   9.14623944e-02   1   4.26258991e+00   2   4.26682791e+00   3   4.27548456e+00   4   4.61213046e+00   5   4.61357468e+00   6   
0.00000000e+00   0   8.10423927e-02   1   3.83240818e+00   2   3.83634002e+00   3   3.84444296e+00   4   4.15693713e+00   5   4.15822657e+00   6   
