0.00000000e+00   0   1.07049235e+01   1   4.73514171e+02   2   4.74149417e+02   3   4.87437808e+02   4   5.75903117e+02   5   5.76049714e+02   6   
0.00000000e+00   0   9.02337027e+00   1   3.88129143e+02   2   3.88602805e+02   3   3.96575431e+02   4   4.59127648e+02   5   4.59244880e+02   6   
0.00000000e+00   0   7.91339218e+00   1   3.22258289e+02   2   3.22613623e+02   3   3.28283678e+02   4   3.75912099e+02   5   3.76011053e+02   6   
0.00000000e+00   0   6.52650797e+00   1   2.72907908e+02   2   2.73193186e+02   3   2.77272366e+02   4   3.14869731e+02   5   3.14951316e+02   6   
0.00000000e+00   0   6.17948763e+00   1   2.34961125e+02   2   2.35182772e+02   3   2.38335187e+02   4   2.68434479e+02   5   2.68501575e+02   6   
0.00000000e+00   0   5.43948638e+00   1   2.04184946e+02   2   2.04375025e+02   3   2.06826160e+02   4   2.31542666e+02   5   2.31600719e+02   6   
0.00000000e+00   0   4.68006940e+00   1   1.79131035e+02   2   1.79295724e+02   3   1.81298188e+02   4   2.01952310e+02   5   2.02003587e+02   6   
0.00000000e+00   0   4.09941225e+00   1   1.58669767e+02   2   1.58812425e+02   3   1.60417355e+02   4   1.77966699e+02   5   1.78012713e+02   6   
0.00000000e+00   0   3.67378088e+00   1   1.41341091e+02   2   1.41467855e+02   3   1.42826874e+02   4   1.58127197e+02   5   1.58167173e+02   6   
0.00000000e+00   0   3.44446783e+00   1   1.27289339e+02   2   1.27394832e+02   3   1.28544014e+02   4   1.41746339e+02   5   1.41783739e+02   6   
0.00000000e+00   0   2.73981188e+00   1   9.98758883e+01   2   9.99569176e+01   3   1.00737705e+02   4   1.10524182e+02   5   1.10553743e+02   6   
0.00000000e+00   0   2.08667325e+00   1   8.08762902e+01   2   8.09384794e+01   3   8.15070084e+01   4   8.90006620e+01   5   8.90255028e+01   6   
0.00000000e+00   0   1.85686221e+00   1   6.70012504e+01   2   6.70518911e+01   3   6.74705883e+01   4   7.34348453e+01   5   7.34558440e+01   6   
0.00000000e+00   0   1.48545803e+00   1   5.66705381e+01   2   5.67135929e+01   3   5.70313953e+01   4   6.18977439e+01   5   6.19153420e+01   6   
0.00000000e+00   0   1.43888129e+00   1   5.31865038e+01   2   5.32272151e+01   3   5.35152356e+01   4   5.80681480e+01   5   5.80843110e+01   6   
0.00000000e+00   0   1.34248190e+00   1   5.01073187e+01   2   5.01452922e+01   3   5.04105009e+01   4   5.46197146e+01   5   5.46352059e+01   6   
0.00000000e+00   0   1.16591016e+00   1   4.25214298e+01   2   4.25525005e+01   3   4.27530175e+01   4   4.62011291e+01   5   4.62134873e+01   6   
0.00000000e+00   0   9.56949537e-01   1   3.75444260e+01   2   3.75717789e+01   3   3.77319563e+01   4   4.06957796e+01   5   4.07070821e+01   6   
0.00000000e+00   0   8.70852501e-01   1   3.34808880e+01   2   3.35057565e+01   3   3.36381777e+01   4   3.62424700e+01   5   3.62522833e+01   6   
0.00000000e+00   0   7.24312367e-01   1   2.74590280e+01   2   2.74794276e+01   3   2.75718318e+01   4   2.96113089e+01   5   2.96190133e+01   6   
0.00000000e+00   0   6.10741482e-01   1   2.31132024e+01   2   2.31306830e+01   3   2.32003240e+01   4   2.48688220e+01   5   2.48752387e+01   6   
0.00000000e+00   0   4.61676629e-01   1   1.75364441e+01   2   1.75499405e+01   3   1.75939461e+01   4   1.88111970e+01   5   1.88160125e+01   6   
0.00000000e+00   0   3.61343669e-01   1   1.41149103e+01   2   1.41260872e+01   3   1.41587952e+01   4   1.51352291e+01   5   1.51392822e+01   6   
0.00000000e+00   0   2.87908433e-01   1   1.18626491e+01   2   1.18721489e+01   3   1.18970551e+01   4   1.27138294e+01   5   1.27173112e+01   6   
0.00000000e+00   0   2.58822649e-01   1   1.02783346e+01   2   1.02868323e+01   3   1.03083286e+01   4   1.10243999e+01   5   1.10274613e+01   6   
0.00000000e+00   0   2.31788455e-01   1   9.12311077e+00   2   9.13103102e+00   3   9.14843374e+00   4   9.78744673e+00   5   9.79017909e+00   6   
0.00000000e+00   0   1.41059438e-01   1   6.14713399e+00   2   6.15288885e+00   3   6.16470876e+00   4   6.60515114e+00   5   6.60711201e+00   6   
0.00000000e+00   0   1.10962368e-01   1   4.91033066e+00   2   4.91515859e+00   3   4.92525838e+00   4   5.29406022e+00   5   5.29565320e+00   6   
0.00000000e+00   0   9.51983322e-02   1   4.23662546e+00   2   4.24095234e+00   3   4.24896580e+00   4   4.58113259e+00   5   4.58257347e+00   6   
0.00000000e+00   0   8.27423099e-02   1   3.81050156e+00   2   3.81452285e+00   3   3.82246079e+00   4   4.13020009e+00   5   4.13148501e+00   6   
0.00000000e+00   0   7.49603994e-02   1   3.51661417e+00   2   3.52042225e+00   3   3.52715014e+00   4   3.81896540e+00   5   3.82017235e+00   6   
0.00000000e+00   0   6.89043557e-02   1   3.29942965e+00   2   3.30308797e+00   3   3.30983493e+00   4   3.58982434e+00   5   3.59098870e+00   6   
0.00000000e+00   0   6.19830662e-02   1   3.13189999e+00   2   3.13540097e+00   3   3.14191081e+00   4   3.44065763e+00   5   3.44172967e+00   6   
0.00000000e+00   0   6.42572490e-02   1   2.99944267e+00   2   3.00285299e+00   3   3.00917453e+00   4   3.28358442e+00   5   3.28463638e+00   6   
0.00000000e+00   0   5.19636758e-02   1   2.59638290e+00   2   2.59951334e+00   3   2.60542360e+00   4   2.85506847e+00   5   2.85610580e+00   6   
0.00000000e+00   0   4.37087772e-02   1   2.39022612e+00   2   2.39306764e+00   3   2.39776745e+00   4   2.64074216e+00   5   2.64170834e+00   6   
0.00000000e+00   0   4.10805871e-02   1   2.26053643e+00   2   2.26344352e+00   3   2.26749697e+00   4   2.54225761e+00   5   2.54322846e+00   6   
0.00000000e+00   0   3.98390492e-02   1   2.17581221e+00   2   2.17858995e+00   3   2.18209714e+00   4   2.43798852e+00   5   2.43988225e+00   6   
0.00000000e+00   0   4.01086518e-02   1   2.69022794e+00   2   2.69276531e+00   3   2.69611423e+00   4   2.91564983e+00   5   2.91649717e+00   6   
0.00000000e+00   0   3.93004778e-02   1   2.43415630e+00   2   2.43677504e+00   3   2.44027927e+00   4   2.65408682e+00   5   2.65502834e+00   6   
0.00000000e+00   0   3.67789154e-02   1   2.14665739e+00   2   2.14927698e+00   3   2.15332399e+00   4   2.39881204e+00   5   2.40109700e+00   6   
0.00000000e+00   0   3.72750665e-02   1   1.98930695e+00   2   1.99192697e+00   3   1.99626736e+00   4   2.22136418e+00   5   2.22266886e+00   6   
0.00000000e+00   0   3.63204341e-02   1   2.32982996e+00   2   2.33235994e+00   3   2.33683707e+00   4   2.55883728e+00   5   2.56047186e+00   6   
0.00000000e+00   0   3.50493164e-02   1   1.94570781e+00   2   1.94830449e+00   3   1.95247743e+00   4   2.16842290e+00   5   2.16947484e+00   6   
