0.00000000e+00   0   2.32236499e+01   1   9.39785236e+02   2   9.40555201e+02   3   9.63849402e+02   4   1.18166908e+03   5   1.18219528e+03   6   
0.00000000e+00   0   1.87050259e+01   1   7.22988308e+02   2   7.23551704e+02   3   7.37326181e+02   4   8.93325329e+02   5   8.93759538e+02   6   
0.00000000e+00   0   1.51075110e+01   1   5.72304975e+02   2   5.72744250e+02   3   5.81896399e+02   4   6.96346071e+02   5   6.96675244e+02   6   
0.00000000e+00   0   1.17837297e+01   1   4.62208884e+02   2   4.62561996e+02   3   4.69141694e+02   4   5.53622341e+02   5   5.53856588e+02   6   
0.00000000e+00   0   1.00588885e+01   1   3.81503580e+02   2   3.81789062e+02   3   3.86647556e+02   4   4.49285430e+02   5   4.49474449e+02   6   
0.00000000e+00   0   8.47054055e+00   1   3.18473974e+02   2   3.18697842e+02   3   3.22411748e+02   4   3.69763453e+02   5   3.69904152e+02   6   
0.00000000e+00   0   7.45463523e+00   1   2.68895593e+02   2   2.69084824e+02   3   2.72007232e+02   4   3.09434041e+02   5   3.09546273e+02   6   
0.00000000e+00   0   6.03441412e+00   1   2.30138973e+02   2   2.30299775e+02   3   2.32622808e+02   4   2.62504987e+02   5   2.62592820e+02   6   
0.00000000e+00   0   5.42691083e+00   1   2.00940584e+02   2   2.01081084e+02   3   2.02984324e+02   4   2.27118259e+02   5   2.27192708e+02   6   
0.00000000e+00   0   4.74354361e+00   1   1.75004809e+02   2   1.75128689e+02   3   1.76697471e+02   4   1.97105642e+02   5   1.97166621e+02   6   
0.00000000e+00   0   4.21240452e+00   1   1.54223475e+02   2   1.54331815e+02   3   1.55632513e+02   4   1.72779277e+02   5   1.72830028e+02   6   
0.00000000e+00   0   3.96878661e+00   1   1.37409081e+02   2   1.37504755e+02   3   1.38631583e+02   4   1.53315963e+02   5   1.53359977e+02   6   
