5.764              0.0001             0.0                delayed_gauNS      zams               3.334              0.0001             0.0                delayed_gauNS      zams               61.2               0.231              end                events         748092197185501


36.8486            0.02               0.0                rapid              zams               28.8894            0.02               0.0                rapid              zams               1977.247576422911    0.1002             end                events         3930572500
5.774              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
12.858    0.006   0.0    delayed   zams   8.234    0.006   0.0    delayed   zams    584.0     0.351     end     all     252413833513234
5.774              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
12.858    0.006   0.0    delayed   zams   8.234    0.006   0.0    delayed   zams    584.0     0.351     end     all     252413833513234
5.774              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
12.858    0.006   0.0    delayed   zams   8.234    0.006   0.0    delayed   zams    584.0     0.351     end     all     252413833513234
5.774              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
12.858    0.006   0.0    delayed   zams   8.234    0.006   0.0    delayed   zams    584.0     0.351     end     all     252413833513234
5.774              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
57.800             0.0008             0.0                delayed_gauNS      zams               50.310           0.0008             0.0                delayed_gauNS      zams               147                0.44               end                all  230428160196832
5.764              0.0001             0.0                delayed_gauNS      zams               3.334              0.0001             0.0                delayed_gauNS      zams               61.2               0.231              end                events         748092197185501

1.2              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
11.921             0.008              0.0                delayed_gauNS      zams               10.164             0.008              0.0                delayed_gauNS      zams               32.4               0.0665             end                events         972424446976650
12.858    0.006   0.0    delayed   zams   8.234    0.006   0.0    delayed   zams    584.0     0.351     end     all     252413833513234
5.774              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
5.774              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
57.800             0.0008             0.0                delayed_gauNS      zams               50.310           0.0008             0.0                delayed_gauNS      zams               147                0.44               end                all  230428160196832
5.764              0.0001             0.0                delayed_gauNS      zams               3.334              0.0001             0.0                delayed_gauNS      zams               61.2               0.231              end                events         748092197185501
1.2              0.0001             0.0                delayed_gauNS      zams               2.405              0.0001             0.0                delayed_gauNS      zams               76.7               0.118              end                events         414627857341122
11.921             0.008              0.0                delayed_gauNS      zams               10.164             0.008              0.0                delayed_gauNS      zams               32.4               0.0665             end                events         972424446976650
5.764              0.0001             0.0                delayed_gauNS      zams               3.334              0.0001             0.0                delayed_gauNS      zams               61.2               0.231              end                events         748092197185501
11.921             0.008              0.0                delayed_gauNS      zams               10.164             0.008              0.0                delayed_gauNS      zams               32.4               0.0665             end                events         972424446976650
11.890             0.006              0.0                delayed_gauNS      zams               4.349              0.006              0.0                delayed_gauNS      zams               36.3               0.19               end                events         70055207057590
124.928            0.002              0.0                delayed_gauNS      zams               115.403            0.002              0.0                delayed_gauNS      zams               56.3               0.00436            end                events         753573423674621
40           0.002               0.0                rapid              zams               20             0.002               0.0                rapid              zams               1.37655580e+01    0.0           end                all         51115306917854
12.9265            0.02               0.0                rapid              zams               2.2729             0.02               0.0                rapid              zams               843.4614018535093    0.0579             end                events         2982894262
6.394216872351005    0.01429            0.0                rapid              zams               11.912904922546386    0.01429            0.0                rapid              zams               273.77112065961273    0.0                13700              events         388902
10.978             0.002              0.0                rapid              zams               7.793              0.002              0.0                rapid              zams               38.5               0.000655           100                eventsrlo      135174915658893
265.2036           0.0001             0.0                rapid              zams               132.9107           0.0001             0.0                rapid              zams 1484.4077          0.216              end                end            813003196311025
273.597            0.0001             0.0                rapid              zams               189.0858           0.0001             0.0                rapid              zams         1409.9541          0.0343             end                end            863632597971369
8.32             0.02             0.0                rapid_gauNS        0               15.9            0.0001   0.0                rapid_gauNS        0               6747                0.347             end                eventsrlo      546966275443197
