0.00000000e+00   0   4.24989556e+02   1   2.66607812e+04   2   2.78281825e+04   3   3.03753357e+04   4   3.04782827e+04   5   3.04784046e+04   6   
0.00000000e+00   0   3.38399251e+02   1   2.05261297e+04   2   2.14537424e+04   3   2.36085762e+04   4   2.37085871e+04   5   2.37086821e+04   6   
0.00000000e+00   0   2.71036395e+02   1   1.59523668e+04   2   1.68135629e+04   3   1.86356020e+04   4   1.87317083e+04   5   1.87318042e+04   6   
0.00000000e+00   0   2.20292691e+02   1   1.26417329e+04   2   1.33355568e+04   3   1.49114416e+04   4   1.50090419e+04   5   1.50091317e+04   6   
0.00000000e+00   0   1.82182154e+02   1   1.00772557e+04   2   1.07176673e+04   3   1.20776640e+04   4   1.21733651e+04   5   1.21734579e+04   6   
0.00000000e+00   0   1.53798000e+02   1   8.17031415e+03   2   8.72999464e+03   3   9.89559563e+03   4   9.99220057e+03   5   9.99229068e+03   6   
0.00000000e+00   0   1.40141962e+02   1   7.53487417e+03   2   8.05917457e+03   3   9.16612374e+03   4   9.26304105e+03   5   9.26313031e+03   6   
0.00000000e+00   0   1.34238188e+02   1   6.94878733e+03   2   7.45080717e+03   3   8.50526115e+03   4   8.60289313e+03   5   8.60298454e+03   6   
0.00000000e+00   0   1.22358282e+02   1   6.41558242e+03   2   6.87833272e+03   3   7.90553237e+03   4   8.00168081e+03   5   8.00177106e+03   6   
0.00000000e+00   0   1.14807473e+02   1   5.90662020e+03   2   6.37975882e+03   3   7.36013939e+03   4   7.45791948e+03   5   7.45800755e+03   6   
0.00000000e+00   0   1.09879833e+02   1   5.49002899e+03   2   5.94294716e+03   3   6.86388225e+03   4   6.96374258e+03   5   6.96383222e+03   6   
0.00000000e+00   0   1.02045210e+02   1   5.08261684e+03   2   5.53198549e+03   3   6.41112542e+03   4   6.50797715e+03   5   6.50806701e+03   6   
0.00000000e+00   0   9.56442203e+01   1   4.72204176e+03   2   5.13859299e+03   3   5.99767551e+03   4   6.09555525e+03   5   6.09564239e+03   6   
0.00000000e+00   0   9.07799095e+01   1   4.40774918e+03   2   4.80301705e+03   3   5.61929482e+03   4   5.71688449e+03   5   5.71697284e+03   6   
0.00000000e+00   0   8.48507015e+01   1   4.09447253e+03   2   4.47802413e+03   3   5.27271815e+03   4   5.36942531e+03   5   5.36951245e+03   6   
0.00000000e+00   0   8.00217346e+01   1   3.80897959e+03   2   4.19020022e+03   3   4.95409680e+03   4   5.05126562e+03   5   5.05134109e+03   6   
0.00000000e+00   0   7.56445502e+01   1   3.55879258e+03   2   3.93562837e+03   3   4.66013633e+03   4   4.75761783e+03   5   4.75770439e+03   6   
0.00000000e+00   0   7.22795031e+01   1   3.36234008e+03   2   3.70115998e+03   3   4.38979245e+03   4   4.48829122e+03   5   4.48838150e+03   6   
0.00000000e+00   0   6.94617821e+01   1   3.22206277e+03   2   3.50724967e+03   3   4.14050095e+03   4   4.23956769e+03   5   4.23964301e+03   6   
0.00000000e+00   0   6.66003020e+01   1   3.03667663e+03   2   3.31514970e+03   3   3.91054051e+03   4   4.00947046e+03   5   4.00954204e+03   6   
0.00000000e+00   0   6.26018505e+01   1   2.87166269e+03   2   3.12818538e+03   3   3.69809912e+03   4   3.79587525e+03   5   3.79596336e+03   6   
0.00000000e+00   0   6.11478403e+01   1   2.73027420e+03   2   2.92518794e+03   3   3.50157319e+03   4   3.59898830e+03   5   3.59906176e+03   6   
0.00000000e+00   0   5.61174915e+01   1   2.60902033e+03   2   2.76814166e+03   3   3.31921273e+03   4   3.41573134e+03   5   3.41581906e+03   6   
0.00000000e+00   0   5.41455178e+01   1   2.48383796e+03   2   2.61946367e+03   3   3.14955915e+03   4   3.24598714e+03   5   3.24606256e+03   6   
0.00000000e+00   0   5.22883665e+01   1   2.37469971e+03   2   2.47952046e+03   3   2.99205092e+03   4   3.09049181e+03   5   3.09057909e+03   6   
0.00000000e+00   0   4.95808718e+01   1   2.26785565e+03   2   2.36295977e+03   3   2.84506407e+03   4   2.94180668e+03   5   2.94187921e+03   6   
0.00000000e+00   0   4.83747330e+01   1   2.17700366e+03   2   2.24717017e+03   3   2.70935604e+03   4   2.80680873e+03   5   2.80691232e+03   6   
0.00000000e+00   0   4.64179382e+01   1   2.08369040e+03   2   2.13899530e+03   3   2.58100647e+03   4   2.67845316e+03   5   2.67852519e+03   6   
0.00000000e+00   0   4.40570519e+01   1   1.99998956e+03   2   2.04597603e+03   3   2.46211239e+03   4   2.55942343e+03   5   2.55949697e+03   6   
0.00000000e+00   0   4.32931883e+01   1   1.92236350e+03   2   1.95843861e+03   3   2.35089521e+03   4   2.44786343e+03   5   2.44793521e+03   6   
0.00000000e+00   0   4.13060875e+01   1   1.84934794e+03   2   1.87654560e+03   3   2.24680828e+03   4   2.34345964e+03   5   2.34353347e+03   6   
0.00000000e+00   0   3.96740934e+01   1   1.77676780e+03   2   1.79958822e+03   3   2.14812930e+03   4   2.24463599e+03   5   2.24471028e+03   6   
0.00000000e+00   0   3.86829050e+01   1   1.71147473e+03   2   1.73015963e+03   3   2.05610353e+03   4   2.15445201e+03   5   2.15453674e+03   6   
0.00000000e+00   0   3.73808923e+01   1   1.65035151e+03   2   1.66392892e+03   3   1.96958500e+03   4   2.06719496e+03   5   2.06726873e+03   6   
0.00000000e+00   0   3.56534285e+01   1   1.59158587e+03   2   1.60325429e+03   3   1.88778230e+03   4   1.98433995e+03   5   1.98441358e+03   6   
0.00000000e+00   0   3.48978094e+01   1   1.53411829e+03   2   1.54430010e+03   3   1.81002045e+03   4   1.90667357e+03   5   1.90674706e+03   6   
0.00000000e+00   0   3.32552548e+01   1   1.47746021e+03   2   1.48580030e+03   3   1.73633194e+03   4   1.83420049e+03   5   1.83427536e+03   6   
0.00000000e+00   0   3.31804390e+01   1   1.42869386e+03   2   1.43588710e+03   3   1.66754851e+03   4   1.76407978e+03   5   1.76415607e+03   6   
0.00000000e+00   0   3.09919600e+01   1   1.37929558e+03   2   1.38541146e+03   3   1.60163519e+03   4   1.69934699e+03   5   1.69942066e+03   6   
0.00000000e+00   0   3.06374561e+01   1   1.33471098e+03   2   1.33995969e+03   3   1.53979058e+03   4   1.63761778e+03   5   1.63769267e+03   6   
0.00000000e+00   0   2.96457327e+01   1   1.29273339e+03   2   1.29740945e+03   3   1.48146633e+03   4   1.57951111e+03   5   1.57958601e+03   6   
0.00000000e+00   0   2.90024573e+01   1   1.25192726e+03   2   1.25600640e+03   3   1.42573371e+03   4   1.52523198e+03   5   1.52530850e+03   6   
0.00000000e+00   0   2.79721404e+01   1   1.20977573e+03   2   1.21306704e+03   3   1.37242109e+03   4   1.47179947e+03   5   1.47187452e+03   6   
0.00000000e+00   0   2.66811484e+01   1   1.17217926e+03   2   1.17559839e+03   3   1.32247721e+03   4   1.42294833e+03   5   1.42302378e+03   6   
0.00000000e+00   0   2.60600902e+01   1   1.13703715e+03   2   1.14007424e+03   3   1.27539360e+03   4   1.37953521e+03   5   1.37960885e+03   6   
0.00000000e+00   0   2.59911934e+01   1   1.10313132e+03   2   1.10590286e+03   3   1.23070031e+03   4   1.33542685e+03   5   1.33550202e+03   6   
0.00000000e+00   0   2.53456743e+01   1   1.07141562e+03   2   1.07373421e+03   3   1.18862034e+03   4   1.29454820e+03   5   1.29462631e+03   6   
0.00000000e+00   0   2.43283249e+01   1   1.03956788e+03   2   1.04170672e+03   3   1.14830836e+03   4   1.25825751e+03   5   1.25833576e+03   6   
0.00000000e+00   0   2.38938234e+01   1   1.00935624e+03   2   1.01130737e+03   3   1.10969281e+03   4   1.22252650e+03   5   1.22260552e+03   6   
0.00000000e+00   0   2.28176928e+01   1   9.80035286e+02   2   9.81960126e+02   3   1.07259844e+03   4   1.18972018e+03   5   1.18980447e+03   6   
0.00000000e+00   0   2.24444164e+01   1   9.54462852e+02   2   9.56217775e+02   3   1.03899431e+03   4   1.16422869e+03   5   1.16442085e+03   6   
0.00000000e+00   0   2.15270391e+01   1   9.26348474e+02   2   9.27974295e+02   3   1.00523026e+03   4   1.13878746e+03   5   1.13886431e+03   6   
0.00000000e+00   0   2.11078056e+01   1   9.01689201e+02   2   9.03171971e+02   3   9.73731468e+02   4   1.11560695e+03   5   1.11568918e+03   6   
0.00000000e+00   0   2.08249268e+01   1   8.77221797e+02   2   8.78602032e+02   3   9.41906425e+02   4   1.10898098e+03   5   1.10908537e+03   6   
0.00000000e+00   0   2.01951719e+01   1   8.57007584e+02   2   8.58382758e+02   3   9.05693256e+02   4   1.13356961e+03   5   1.13368687e+03   6   
0.00000000e+00   0   1.96886450e+01   1   8.32671651e+02   2   8.33815917e+02   3   8.77801221e+02   4   1.10520583e+03   5   1.10530605e+03   6   
0.00000000e+00   0   1.90751750e+01   1   8.11135180e+02   2   8.12217090e+02   3   8.52514844e+02   4   1.08623142e+03   5   1.08635106e+03   6   
0.00000000e+00   0   1.85228683e+01   1   7.90787704e+02   2   7.91912188e+02   3   8.28747361e+02   4   1.05047732e+03   5   1.05058271e+03   6   
0.00000000e+00   0   1.84275760e+01   1   7.70314753e+02   2   7.71314734e+02   3   8.05986976e+02   4   1.02274101e+03   5   1.02284230e+03   6   
0.00000000e+00   0   1.79849689e+01   1   7.50461317e+02   2   7.51414244e+02   3   7.83796295e+02   4   9.96655340e+02   5   9.96755390e+02   6   
0.00000000e+00   0   1.72328057e+01   1   7.33073439e+02   2   7.33968046e+02   3   7.64522145e+02   4   9.77609197e+02   5   9.77722061e+02   6   
0.00000000e+00   0   1.72551460e+01   1   7.14485231e+02   2   7.15331807e+02   3   7.44483354e+02   4   9.47259401e+02   5   9.47356992e+02   6   
0.00000000e+00   0   1.70219790e+01   1   6.96865922e+02   2   6.97720530e+02   3   7.25307558e+02   4   9.18405126e+02   5   9.18501061e+02   6   
0.00000000e+00   0   1.66067726e+01   1   6.79798021e+02   2   6.80646467e+02   3   7.06417301e+02   4   8.95017455e+02   5   8.95112593e+02   6   
0.00000000e+00   0   1.61934293e+01   1   6.63495285e+02   2   6.64283174e+02   3   6.88850959e+02   4   8.73333646e+02   5   8.73426085e+02   6   
0.00000000e+00   0   1.56118109e+01   1   6.47988272e+02   2   6.48729990e+02   3   6.71938350e+02   4   8.48591281e+02   5   8.48686229e+02   6   
0.00000000e+00   0   1.55149012e+01   1   6.33819927e+02   2   6.34522339e+02   3   6.56659851e+02   4   8.32425484e+02   5   8.32515596e+02   6   
0.00000000e+00   0   1.50935110e+01   1   6.18212519e+02   2   6.18890968e+02   3   6.39982214e+02   4   8.07010447e+02   5   8.07103654e+02   6   
0.00000000e+00   0   1.47129389e+01   1   6.04382267e+02   2   6.05032017e+02   3   6.25123642e+02   4   7.85379928e+02   5   7.85470006e+02   6   
0.00000000e+00   0   1.45626922e+01   1   5.91479022e+02   2   5.92133729e+02   3   6.11225727e+02   4   7.65148710e+02   5   7.65236608e+02   6   
0.00000000e+00   0   1.42468035e+01   1   5.76660801e+02   2   5.77297398e+02   3   5.95690771e+02   4   7.46324816e+02   5   7.46414733e+02   6   
0.00000000e+00   0   1.39556711e+01   1   5.65134119e+02   2   5.65745144e+02   3   5.82942909e+02   4   7.29275233e+02   5   7.29363665e+02   6   
0.00000000e+00   0   1.34700868e+01   1   5.52191112e+02   2   5.52752202e+02   3   5.69515661e+02   4   7.08936985e+02   5   7.09022231e+02   6   
0.00000000e+00   0   1.33311790e+01   1   5.40225646e+02   2   5.40769939e+02   3   5.56537246e+02   4   6.96422163e+02   5   6.96505425e+02   6   
0.00000000e+00   0   1.30431627e+01   1   5.29112140e+02   2   5.29631490e+02   3   5.44707770e+02   4   6.78194172e+02   5   6.78263660e+02   6   
0.00000000e+00   0   1.27785359e+01   1   5.17555596e+02   2   5.18058269e+02   3   5.32869089e+02   4   6.58896341e+02   5   6.58965045e+02   6   
0.00000000e+00   0   1.26445729e+01   1   5.06287085e+02   2   5.06765779e+02   3   5.20658946e+02   4   6.44151164e+02   5   6.44220455e+02   6   
0.00000000e+00   0   1.23260389e+01   1   4.95516745e+02   2   4.95978306e+02   3   5.09310011e+02   4   6.27362976e+02   5   6.27429944e+02   6   
0.00000000e+00   0   1.20642710e+01   1   4.85811812e+02   2   4.86258119e+02   3   4.99036091e+02   4   6.12763756e+02   5   6.12831367e+02   6   
0.00000000e+00   0   1.17238795e+01   1   4.75442412e+02   2   4.75877690e+02   3   4.88664749e+02   4   5.98142731e+02   5   5.98208174e+02   6   
0.00000000e+00   0   1.17067876e+01   1   4.66376021e+02   2   4.66791409e+02   3   4.78608439e+02   4   5.84312748e+02   5   5.84376811e+02   6   
0.00000000e+00   0   1.12655381e+01   1   4.56337095e+02   2   4.56743372e+02   3   4.68165213e+02   4   5.70955367e+02   5   5.71018504e+02   6   
0.00000000e+00   0   1.10506053e+01   1   4.47580933e+02   2   4.47974911e+02   3   4.58948932e+02   4   5.58755997e+02   5   5.58817239e+02   6   
0.00000000e+00   0   1.10501698e+01   1   4.38663706e+02   2   4.39016677e+02   3   4.49634151e+02   4   5.45479271e+02   5   5.45539777e+02   6   
0.00000000e+00   0   1.08499069e+01   1   4.30300062e+02   2   4.30673645e+02   3   4.40948140e+02   4   5.35087068e+02   5   5.35147077e+02   6   
0.00000000e+00   0   1.06379399e+01   1   4.21943194e+02   2   4.22279391e+02   3   4.32233441e+02   4   5.22373158e+02   5   5.22433302e+02   6   
0.00000000e+00   0   1.04501401e+01   1   4.13740594e+02   2   4.14084802e+02   3   4.23790944e+02   4   5.13113300e+02   5   5.13174951e+02   6   
0.00000000e+00   0   1.03560329e+01   1   4.05938035e+02   2   4.06274380e+02   3   4.15582873e+02   4   5.01760170e+02   5   5.01819137e+02   6   
0.00000000e+00   0   1.01157123e+01   1   3.98179850e+02   2   3.98512814e+02   3   4.07555277e+02   4   4.91856199e+02   5   4.91915249e+02   6   
0.00000000e+00   0   9.85181154e+00   1   3.90964145e+02   2   3.91289556e+02   3   3.99968880e+02   4   4.79858174e+02   5   4.79904252e+02   6   
0.00000000e+00   0   9.69256663e+00   1   3.83733229e+02   2   3.84050054e+02   3   3.92475743e+02   4   4.69775709e+02   5   4.69833681e+02   6   
0.00000000e+00   0   9.51920495e+00   1   3.76736433e+02   2   3.77021924e+02   3   3.85211913e+02   4   4.60741111e+02   5   4.60786618e+02   6   
0.00000000e+00   0   9.29848115e+00   1   3.69945396e+02   2   3.70236281e+02   3   3.78147058e+02   4   4.50900322e+02   5   4.50946577e+02   6   
0.00000000e+00   0   9.12633496e+00   1   3.63147076e+02   2   3.63416016e+02   3   3.71209669e+02   4   4.44185125e+02   5   4.44240854e+02   6   
0.00000000e+00   0   9.05143277e+00   1   3.56665885e+02   2   3.56928469e+02   3   3.64403501e+02   4   4.33540212e+02   5   4.33585706e+02   6   
0.00000000e+00   0   8.77891519e+00   1   3.50111217e+02   2   3.50382138e+02   3   3.57678456e+02   4   4.25113842e+02   5   4.25157573e+02   6   
0.00000000e+00   0   8.85975593e+00   1   3.44049181e+02   2   3.44314720e+02   3   3.51450024e+02   4   4.17729841e+02   5   4.17776441e+02   6   
0.00000000e+00   0   8.52634865e+00   1   3.37929611e+02   2   3.38172913e+02   3   3.45121965e+02   4   4.09478720e+02   5   4.09522442e+02   6   
0.00000000e+00   0   8.46219533e+00   1   3.32302917e+02   2   3.32556913e+02   3   3.39244329e+02   4   4.01113022e+02   5   4.01156426e+02   6   
0.00000000e+00   0   8.31318684e+00   1   3.26558596e+02   2   3.26790794e+02   3   3.33363856e+02   4   3.93903760e+02   5   3.93947807e+02   6   
0.00000000e+00   0   8.33545647e+00   1   3.20995438e+02   2   3.21238077e+02   3   3.27591874e+02   4   3.86696138e+02   5   3.86739958e+02   6   
0.00000000e+00   0   7.01696542e+00   1   2.72618210e+02   2   2.72796444e+02   3   2.77869081e+02   4   3.24478976e+02   5   3.24520922e+02   6   
