11.888  0.0004 0.0 rapid zams  8.543  0.0004 0.0 rapid zams  25.0 0.0417 end all
12.493  0.0004 0.0 rapid zams  11.304  0.0004 0.0 rapid zams  33.8 0.0252 end all
11.577  0.0002 0.0 rapid zams  8.089  0.0002 0.0 rapid zams  41.8 0.0402 end all
14.24  0.0008 0.0 rapid zams  9.467  0.0008 0.0 rapid zams  66.6 0.4 end all
18.343  0.02 0.0 rapid zams  17.671  0.02 0.0 rapid zams  395.0 0.00339 end all
9.65  0.0001 0.0 rapid zams  6.8820000000000014  0.0001 0.0 rapid zams  79.3 0.464 end all
18.022  0.002 0.0 rapid zams  17.15  0.002 0.0 rapid zams  177.0 0.502 end all
9.692  0.0001 0.0 rapid zams  7.171  0.0001 0.0 rapid zams  45.1 0.0747 end all
12.605  0.017 0.0 rapid zams  8.408999999999999  0.017 0.0 rapid zams  42.1 0.103 end all
19.214  0.004 0.0 rapid zams  8.769  0.004 0.0 rapid zams  706.0 0.274 end all
12.821  0.01 0.0 rapid zams  12.392  0.01 0.0 rapid zams  110.0 0.159 end all
19.988  0.03 0.0 rapid zams  14.511  0.03 0.0 rapid zams  592.0 0.507 end all
11.635  0.0004 0.0 rapid zams  10.242  0.0004 0.0 rapid zams  27.5 0.0922 end all
11.849  0.0006 0.0 rapid zams  11.27  0.0006 0.0 rapid zams  35.1 0.00699 end all
12.878  0.014 0.0 rapid zams  12.58  0.014 0.0 rapid zams  104.0 0.0606 end all
13.656  0.03 0.0 rapid zams  13.108  0.03 0.0 rapid zams  1140.0 0.677 end all
11.059  0.0001 0.0 rapid zams  8.402999999999999  0.0001 0.0 rapid zams  114.0 0.418 end all
14.019  0.0001 0.0 rapid zams  13.987  0.0001 0.0 rapid zams  1260.0 0.7829999999999999 end all
8.571  0.0001 0.0 rapid zams  7.717  0.0001 0.0 rapid zams  144.0 0.623 end all
11.683  0.0001 0.0 rapid zams  10.925  0.0001 0.0 rapid zams  113.0 0.0935 end all
12.332  0.0004 0.0 rapid zams  12.278  0.0004 0.0 rapid zams  202.0 2.8300000000000007e-05 end all
10.903  0.0004 0.0 rapid zams  7.729  0.0004 0.0 rapid zams  65.8 0.113 end all
12.501  0.006 0.0 rapid zams  12.262  0.006 0.0 rapid zams  135.0 0.0247 end all
13.093  0.008 0.0 rapid zams  12.149  0.008 0.0 rapid zams  298.0 0.377 end all
16.89  0.0008 0.0 rapid zams  10.791  0.0008 0.0 rapid zams  62.6 0.256 end all
11.138  0.0006 0.0 rapid zams  10.195  0.0006 0.0 rapid zams  46.7 0.173 end all
14.396  0.0008 0.0 rapid zams  10.8  0.0008 0.0 rapid zams  43.3 0.206 end all
18.241  0.02 0.0 rapid zams  16.997  0.02 0.0 rapid zams  1340.0 0.359 end all
16.49  0.0006 0.0 rapid zams  9.167  0.0006 0.0 rapid zams  191.0 0.536 end all
9.363  0.0001 0.0 rapid zams  8.764  0.0001 0.0 rapid zams  53.7 0.0195 end all
12.267  0.0001 0.0 rapid zams  9.193  0.0001 0.0 rapid zams  855.0 0.00302 end all
12.415  0.02 0.0 rapid zams  9.655  0.02 0.0 rapid zams  52.5 0.149 end all
13.911  0.0004 0.0 rapid zams  12.209  0.0004 0.0 rapid zams  709.0 0.032 end all
12.259  0.004 0.0 rapid zams  11.995  0.004 0.0 rapid zams  161.0 0.131 end all
11.0  0.0004 0.0 rapid zams  9.677  0.0004 0.0 rapid zams  21.1 0.00264 end all
14.185  0.0008 0.0 rapid zams  13.028  0.0008 0.0 rapid zams  53.3 0.617 end all
13.138  0.004 0.0 rapid zams  12.088  0.004 0.0 rapid zams  757.0 0.241 end all
8.728  0.0001 0.0 rapid zams  6.194  0.0001 0.0 rapid zams  98.5 0.158 end all
21.619  0.0006 0.0 rapid zams  16.086  0.0006 0.0 rapid zams  241.0 0.183 end all
17.262  0.0006 0.0 rapid zams  11.73  0.0006 0.0 rapid zams  512.0 0.439 end all
13.682  0.0001 0.0 rapid zams  11.875  0.0001 0.0 rapid zams  22.8 0.18 end all
10.305  0.0002 0.0 rapid zams  7.997999999999998  0.0002 0.0 rapid zams  91.2 0.458 end all
17.814  0.001 0.0 rapid zams  10.656  0.001 0.0 rapid zams  19.5 0.0144 end all
12.841  0.004 0.0 rapid zams  10.398  0.004 0.0 rapid zams  39.9 0.511 end all
8.732999999999999  0.0002 0.0 rapid zams  8.596  0.0002 0.0 rapid zams  128.0 0.118 end all
