0.00000000e+00   0   2.11173516e+01   1   8.26974292e+02   2   8.27810578e+02   3   8.48885918e+02   4   1.06480790e+03   5   1.06533152e+03   6   
0.00000000e+00   0   1.62975412e+01   1   6.54133231e+02   2   6.54764795e+02   3   6.67833812e+02   4   8.26681844e+02   5   8.27089709e+02   6   
0.00000000e+00   0   1.39384078e+01   1   5.27864223e+02   2   5.28342969e+02   3   5.37385605e+02   4   6.56808840e+02   5   6.57107060e+02   6   
0.00000000e+00   0   1.13750793e+01   1   4.30946875e+02   2   4.31335917e+02   3   4.38064758e+02   4   5.27981777e+02   5   5.28223309e+02   6   
0.00000000e+00   0   9.47471645e+00   1   3.60566132e+02   2   3.60880759e+02   3   3.66018408e+02   4   4.34266005e+02   5   4.34457133e+02   6   
0.00000000e+00   0   8.37341993e+00   1   3.04583169e+02   2   3.04838914e+02   3   3.08854472e+02   4   3.61487979e+02   5   3.61639927e+02   6   
0.00000000e+00   0   6.94335354e+00   1   2.60019071e+02   2   2.60234534e+02   3   2.63401827e+02   4   3.05335951e+02   5   3.05457294e+02   6   
0.00000000e+00   0   6.05207935e+00   1   2.24816274e+02   2   2.24994981e+02   3   2.27577666e+02   4   2.61386620e+02   5   2.61483942e+02   6   
0.00000000e+00   0   5.22854726e+00   1   1.95719094e+02   2   1.95873937e+02   3   1.97988506e+02   4   2.25653620e+02   5   2.25735927e+02   6   
0.00000000e+00   0   4.80627414e+00   1   1.71962829e+02   2   1.72099200e+02   3   1.73842798e+02   4   1.97078855e+02   5   1.97143780e+02   6   
0.00000000e+00   0   3.65611475e+00   1   1.28718082e+02   2   1.28815448e+02   3   1.29961707e+02   4   1.45751341e+02   5   1.45798401e+02   6   
0.00000000e+00   0   2.76089032e+00   1   9.97566644e+01   2   9.98304444e+01   3   1.00645811e+02   4   1.12139017e+02   5   1.12173840e+02   6   
0.00000000e+00   0   2.15382086e+00   1   8.00226983e+01   2   8.00816844e+01   3   8.06648418e+01   4   8.92948584e+01   5   8.93229087e+01   6   
0.00000000e+00   0   1.85733999e+00   1   6.57145822e+01   2   6.57614735e+01   3   6.62058328e+01   4   7.29705793e+01   5   7.29937829e+01   6   
0.00000000e+00   0   1.63081513e+00   1   6.09553165e+01   2   6.09987102e+01   3   6.13971369e+01   4   6.76137883e+01   5   6.76349252e+01   6   
