0.00000000e+00   0   1.98762449e+01   1   8.00717434e+02   2   8.01554721e+02   3   8.26781652e+02   4   1.03465577e+03   5   1.03510874e+03   6   
0.00000000e+00   0   1.59828901e+01   1   6.31549654e+02   2   6.32169761e+02   3   6.47191533e+02   4   8.00948157e+02   5   8.01281799e+02   6   
0.00000000e+00   0   1.26109307e+01   1   5.07117274e+02   2   5.07598126e+02   3   5.17484161e+02   4   6.26870233e+02   5   6.27117843e+02   6   
0.00000000e+00   0   1.10624336e+01   1   4.16649454e+02   2   4.17012986e+02   3   4.24020006e+02   4   5.02425103e+02   5   5.02608823e+02   6   
0.00000000e+00   0   8.96356073e+00   1   3.47881874e+02   2   3.48180540e+02   3   3.53384070e+02   4   4.11276005e+02   5   4.11413169e+02   6   
0.00000000e+00   0   7.79781873e+00   1   2.93955620e+02   2   2.94205217e+02   3   2.98195466e+02   4   3.43111624e+02   5   3.43218882e+02   6   
0.00000000e+00   0   6.32893767e+00   1   2.51138627e+02   2   2.51343731e+02   3   2.54449226e+02   4   2.90590493e+02   5   2.90677160e+02   6   
0.00000000e+00   0   5.67246915e+00   1   2.17271115e+02   2   2.17447326e+02   3   2.19965978e+02   4   2.49172972e+02   5   2.49245374e+02   6   
0.00000000e+00   0   5.25510537e+00   1   1.90180203e+02   2   1.90334746e+02   3   1.92417745e+02   4   2.16747109e+02   5   2.16808116e+02   6   
0.00000000e+00   0   4.59262950e+00   1   1.67129700e+02   2   1.67260475e+02   3   1.68956266e+02   4   1.89688343e+02   5   1.89740866e+02   6   
0.00000000e+00   0   4.11607994e+00   1   1.48630098e+02   2   1.48745921e+02   3   1.50201278e+02   4   1.67821596e+02   5   1.67867705e+02   6   
0.00000000e+00   0   3.02121398e+00   1   1.14197370e+02   2   1.14280837e+02   3   1.15252323e+02   4   1.27799817e+02   5   1.27833907e+02   6   
0.00000000e+00   0   2.37528203e+00   1   9.05055478e+01   2   9.05723215e+01   3   9.12446185e+01   4   1.00755758e+02   5   1.00783049e+02   6   
0.00000000e+00   0   1.93919866e+00   1   7.38742285e+01   2   7.39288400e+01   3   7.44203947e+01   4   8.18471394e+01   5   8.18697818e+01   6   
0.00000000e+00   0   1.67422847e+00   1   6.15451789e+01   2   6.15886682e+01   3   6.19716252e+01   4   6.79226472e+01   5   6.79411428e+01   6   
0.00000000e+00   0   1.57172647e+00   1   5.76102947e+01   2   5.76509810e+01   3   5.79945401e+01   4   6.34654162e+01   5   6.34829131e+01   6   
0.00000000e+00   0   1.43581820e+00   1   5.39205566e+01   2   5.39589225e+01   3   5.42682670e+01   4   5.93685622e+01   5   5.93846708e+01   6   
0.00000000e+00   0   1.37537601e+00   1   5.23220496e+01   2   5.23593257e+01   3   5.26521400e+01   4   5.75577200e+01   5   5.75732466e+01   6   
0.00000000e+00   0   1.13216807e+00   1   4.52418397e+01   2   4.52747054e+01   3   4.55081431e+01   4   4.95978355e+01   5   4.96113238e+01   6   
0.00000000e+00   0   1.05237923e+00   1   3.96183406e+01   2   3.96469701e+01   3   3.98342672e+01   4   4.33264139e+01   5   4.33379421e+01   6   
0.00000000e+00   0   8.72454055e-01   1   3.51372913e+01   2   3.51631876e+01   3   3.53152038e+01   4   3.83141945e+01   5   3.83244534e+01   6   
0.00000000e+00   0   7.14174738e-01   1   2.84351543e+01   2   2.84553710e+01   3   2.85658076e+01   4   3.08754067e+01   5   3.08835546e+01   6   
0.00000000e+00   0   5.91160601e-01   1   2.37649894e+01   2   2.37822075e+01   3   2.38638347e+01   4   2.57296389e+01   5   2.57363323e+01   6   
0.00000000e+00   0   4.57651879e-01   1   1.78150116e+01   2   1.78288766e+01   3   1.78797140e+01   4   1.91996385e+01   5   1.92045759e+01   6   
0.00000000e+00   0   3.44440538e-01   1   1.42632945e+01   2   1.42748060e+01   3   1.43118304e+01   4   1.53623186e+01   5   1.53663120e+01   6   
0.00000000e+00   0   3.00988223e-01   1   1.19371722e+01   2   1.19464993e+01   3   1.19759803e+01   4   1.28396575e+01   5   1.28429285e+01   6   
0.00000000e+00   0   2.43378199e-01   1   1.03282427e+01   2   1.03365707e+01   3   1.03610241e+01   4   1.11174247e+01   5   1.11203149e+01   6   
0.00000000e+00   0   2.07078916e-01   1   9.15082277e+00   2   9.15830347e+00   3   9.17948881e+00   4   9.85936165e+00   5   9.86199867e+00   6   
0.00000000e+00   0   1.65680641e-01   1   7.25599551e+00   2   7.26320151e+00   3   7.28050369e+00   4   7.82169618e+00   5   7.82389021e+00   6   
0.00000000e+00   0   1.35791365e-01   1   6.15234730e+00   2   6.15855816e+00   3   6.17332623e+00   4   6.64146240e+00   5   6.64334836e+00   6   
0.00000000e+00   0   1.18919921e-01   1   5.43251191e+00   2   5.43804451e+00   3   5.45141935e+00   4   5.86851164e+00   5   5.87017710e+00   6   
0.00000000e+00   0   1.08030651e-01   1   4.92140998e+00   2   4.92639586e+00   3   4.93903967e+00   4   5.32212493e+00   5   5.32372332e+00   6   
0.00000000e+00   0   9.22421663e-02   1   4.25373156e+00   2   4.25820527e+00   3   4.26802693e+00   4   4.61280640e+00   5   4.61423063e+00   6   
0.00000000e+00   0   8.29420564e-02   1   3.83163801e+00   2   3.83558641e+00   3   3.84468401e+00   4   4.16457326e+00   5   4.16581765e+00   6   
0.00000000e+00   0   7.19522957e-02   1   3.53718786e+00   2   3.54091370e+00   3   3.54954740e+00   4   3.85194575e+00   5   3.85311227e+00   6   
0.00000000e+00   0   6.65150381e-02   1   3.12203638e+00   2   3.12534119e+00   3   3.13415924e+00   4   3.39970794e+00   5   3.40067644e+00   6   
0.00000000e+00   0   6.51518742e-02   1   3.11855460e+00   2   3.12174987e+00   3   3.12959670e+00   4   3.38607612e+00   5   3.38705602e+00   6   
0.00000000e+00   0   6.08640238e-02   1   2.98874926e+00   2   2.99187914e+00   3   2.99944985e+00   4   3.25077661e+00   5   3.25167435e+00   6   
0.00000000e+00   0   4.79444448e-02   1   2.61901072e+00   2   2.62203479e+00   3   2.62840434e+00   4   2.87804324e+00   5   2.87896779e+00   6   
0.00000000e+00   0   4.34523833e-02   1   2.41104229e+00   2   2.41391253e+00   3   2.42004230e+00   4   2.65729174e+00   5   2.65819754e+00   6   
0.00000000e+00   0   4.19094154e-02   1   2.28133830e+00   2   2.28402542e+00   3   2.28983548e+00   4   2.52164837e+00   5   2.52258953e+00   6   
0.00000000e+00   0   3.92750837e-02   1   2.19127399e+00   2   2.19382637e+00   3   2.19930089e+00   4   2.40571999e+00   5   2.40649922e+00   6   
0.00000000e+00   0   3.83350936e-02   1   2.12449383e+00   2   2.12703058e+00   3   2.13244404e+00   4   2.33384412e+00   5   2.33457708e+00   6   
